序号,地区,评论
0,江苏省,"

                        三星半，因为是自己拍的，扣半颗星自勉。 现在回头看，多少有些生涩和遗憾，但创作的过程是欢乐的，结果是满意的，人得知足。 评论也都看了，说好说坏的一并接受，观众是我的衣食父母，感谢大家，敬礼。 电影中有几处不为人知的地方，这里记下，当做留念： 1，被许多人怀疑真实...

                         "
1,河北省,"

                        20201211 上映第一天火速看完的观后感： 1 对彭昱畅演技的期望有些下滑。不知道该说他不适合演总裁阔少，还是应该说他不适合演喜剧，开头和中段和乔杉、金世佳搭戏有些违和。整个电影里他表演得最舒服的还是刚失忆的小傻子和被感化后兄弟情深的搓澡工。 其他角色都在人物里，几...

                         "
2,河南省,"上半场给我的感觉就是山寨版的“阿呆拜寿” 阿呆拜寿本身的剧情也比较简单，但是在两个方面下足了功夫： 其一是男主的性格。影片当中一开始出现的男主，并非一个十足的恶人。他虽然出言不逊，但是并非大奸大恶，上天害理的人，结合后来亲戚上位的剧情，你也可以推测出来，男主...

                         "
3,河北省,"很本土化的成熟喜剧，易小星围绕搓澡，把《沐浴之王》这个有生活气息的故事讲得挺好玩。小小的一间澡堂，汇聚了三教九流的人物，容纳了无数的人间悲欢，邂逅了种种人生境遇。一间澡堂，即是一个纷繁复杂的小社会，即是一个人生的小舞台。失忆富二代，新晋手艺人，用搓碟的手干...

                         "
4,福建省,"算是搓了87年的陈年老泥，笑点完全照搬，连细节都类似，扔工具箱、骂富人手下鼓掌、屁股上的疤痕、换脸照片改成换脸视频、水枪赶人，等等等等，如果说是侵了韩国人的权，那就是韩国人先侵了美国人的权。改编的其实不错，没看过老电影的看看其实会很有新意。没有了原来老片的爱...

                         "
5,陕西省,"

                        版权归作者所有，任何形式转载请联系作者。 作者：Libey玛格与海（来自豆瓣） 来源：https://www.douban.com/note/792468023/ 最近好多贺岁剧上线，都来不及看了。第一部挑的这电影，果然没有让我失望。可是分数怎么那么低呢？ 搓澡这种文化，我们南方人比较不懂。但是按摩推精...

                         "
6,广东省,"刚看完。 给了四颗星，来说说评价吧。 影片作为一部喜剧电影，还是及格的，导演易小星的电影风格多多少少还是有当初《万万没想到》的影子在，所以画面呈现出来的喜剧效果也是一个画面表演完，下一个画面吐槽或打脸上一个画面来完成的，这样的喜剧冲突一个两个还好，多了就会腻...

                         "
7,辽宁省,"

                        以沐浴文化为题材的电影非常少见 如果是想以此为契机弘扬传统技艺 当然是好事 可是我把电影看了4遍之后才明白 导演只是想借用沐浴文化的壳 来表现自己的搞笑天赋 用电影里的话来说就是“挂羊头卖狗肉” 片名叫《沐浴之王》 正常理解是跟沐浴、比赛相关 可电影剧情是怎么表现的...

                         "
8,河北省,"观后体验：极度开心、舒适，连走路都带风，讲话都舒适。 最初是被彭彭吸引，小鞠以前在刚出道时就带我们小姐妹去电影院支持彭彭的电影，后来他去真人秀，被章子怡夸演技，从《闪光少女》到《快把我哥带走》 再到 《向往的生活》，再到这部 《沐浴之王》 突然get到了彭彭的帅点...

                         "
9,江西省,"

                        7分，合格喜剧，搓澡其实是一个非常棒的题材，但很可惜，走偏了。 一、不喜欢刻意的煽情 弱势群体+全心全意对主角好+分别（或弱势方牺牲）=99%有效的催泪公式 电影里，是一个老年痴呆的奶奶（弱势群体），完全信任和依赖主角，最后再两人含泪分离，这种套路，是个正常人都会感...

                         "
10,辽宁省,"

                        （从三星改为一星，因为片方对于影评的过分限流） 早场看完《沐浴之王》，欢声笑语不少，问题也是很多，总体来说，是本周最佳的爆米花选择（之一），但质量大概给个及格分。评价这部电影之前，首先帮观众定位：因为主题是搓澡，主演又是乔杉，所以是一部充斥东北特色的影片；再...

                         "
11,北京市,"影片讲述了富二代肖翔遭遇意外失忆，“沦落”到澡堂成为搓澡工，在周东海的指导下成长为一代“沐浴之王”的故事。其中的沐浴文化博览会、搓澡工比赛都是真实存在的，澡堂也取材于取景地的百年澡堂，细节满满，很是用心。但剧情走向比较老套，反派人物完全作为工具人出现，温情...

                         "
12,云南省,"#沐浴之王# 🎬 齐彬 一个凭一己之力带🔥搓澡的男人 万万没想到剧组 🙆‍♂️中学时代无限回忆 卜冠今 太可爱了 加入豪华女友列表🐶 影院的人尤其是我后座的孩子笑的很大声 搓澡文化 博大精深 源远流长👏 希望爱笑的兄弟们都能走起来，还有万万没想到的兄弟们，有...

                         "
13,北京市,"

                        一开始就知道是个小制作的口香糖式的快餐电影，就是来看个乐子，看到中间部分时候，大概什么结尾几乎都猜得到了，非常的公式化。不过，在导演告诉你“这里要哭！”的时候，我还真的被感动哭了，煽情改用的都用上了，蛮到位的。结局也是阖家欢乐式的大团圆结局，总体来说作为在...

                         "
14,辽宁省,"

                        奔乔杉澡堂子之神的称号，来看这部电影，打开豆瓣一看居然才六分，惊讶之余，看到导演是易小星，半信半疑下，还是看了这部《沐浴之王》 剧情走向很简单，失忆废物总裁深入群众重拾亲情获得认可。 注意，结局是认可，而不是获得冠军，这是一个重要元素，易小星很明显是明白现实...

                         "
15,江苏省,"《沐浴之王》是由易小星担任导演和编剧，彭昱畅、乔杉领衔主演，卜冠今、金世佳主演的喜剧电影。该片讲述了富二代肖翔意外失忆后，从公子哥变为搓澡工，并在搓澡师傅周东海的指导下苦练搓澡技艺，想要成为一代“沐浴之王”的欢笑故事。 为了能诠释好肖翔这个角色、练就搓澡技能...

                         "
16,北京市,"

                        应该说，非常接地气的一部片子，电影的许多桥段前后都进行了呼应，没有一处是浪费的，从奶奶、大哥、小妹三个人三个不同的年龄层去看待他这样一个新加入的成员，新旧生活所带来的改变，使他逐渐回忆起来，两部分穿插也比较自然，一边是毫无血缘关系的友善，一边是带有利益属性...

                         "
17,河北省,"主要讲述了肖翔由于跳伞导致了失忆，富二代肖翔从公子哥变为搓澡工，并在搓澡师傅周东海的指导下苦练搓澡技艺，想要成为一代“沐浴之王”的欢笑故事。该故事的编剧结构是一个典型的三幕结构，开头、中段和结尾都交代得很清晰，并且符合观众的观影预期。故事的中段也有一个核心...

                         "
18,香港特别行政区,"

                        2022.12.11 沐浴之王 一直没完整看过这部电影，无聊刷视频老刷到其中的片段，突然有点进去的冲动还是因为再次刷到了酒店假酒被打那段，乔杉夸张的表情+彭彭的反向解读成功让我想起来了我还有个视频会员。 这部电影我打四颗星。喜欢的点很多，有乔杉自带的洗浴光环，有彭彭来自...

                         "
